ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[simple_reasoning_streaming] (gpu=0, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[complete_reasoning] (gpu=2, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[complete_reasoning_streaming] (gpu=3, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[no_end_token] (gpu=4, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[no_end_token_streaming] (gpu=5, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[multiple_lines] (gpu=6, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[multiple_lines_streaming] (gpu=0, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[shortest_reasoning] (gpu=2, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[shortest_reasoning_streaming] (gpu=3, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[empty] (gpu=4, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[empty_streaming] (gpu=5, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[special_chars] (gpu=6, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[special_chars_streaming] (gpu=0, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[code_in_reasoning] (gpu=2, 1ms, exit=1)
ERROR          tests/reasoning/test_minimax_m2_reasoning_parser.py::test_reasoning[code_in_reasoning_streaming] (gpu=3, 1ms, exit=1)
FAILED         tests/samplers/test_beam_search.py::test_beam_search_single_input[4-64-half-TinyLlama/TinyLlama-1.1B-Chat-v1.0] (gpu=4, 18754ms, exit=1)
FAILED         tests/samplers/test_beam_search.py::test_beam_search_with_concurrency_limit[4-64-half-TinyLlama/TinyLlama-1.1B-Chat-v1.0] (gpu=5, 9030ms, exit=1)
FAILED         tests/samplers/test_ignore_eos.py::test_ignore_eos[512-half-meta-llama/Llama-3.2-1B] (gpu=6, 290ms, exit=1)
FAILED         tests/tokenizers_/test_basic.py::test_tokenizer_like_protocol (gpu=0, 128ms, exit=1)
FAILED         tests/tokenizers_/test_basic.py::test_tokenizer_revision[gpt2] (gpu=2, 169ms, exit=1)
FAILED         tests/tokenizers_/test_hf.py::test_cached_tokenizer[gpt2] (gpu=3, 160ms, exit=1)
FAILED         tests/tokenizers_/test_hf.py::test_cached_tokenizer[zai-org/GLM-4.1V-9B-Thinking] (gpu=4, 190ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_all_special_tokens[mistralai/Mistral-7B-Instruct-v0.3] (gpu=5, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_get_added_vocab[mistralai/Mistral-7B-Instruct-v0.3] (gpu=6, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_encode[mistralai/Mistral-7B-Instruct-v0.3] (gpu=0, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_call[mistralai/Mistral-7B-Instruct-v0.3] (gpu=2, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_apply_chat_template[openai_request0-True-False-expected_output0-decoded_expected_output0-mistralai/Mistral-7B-Instruct-v0.3] (gpu=3, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_apply_chat_template[openai_request1-True-False-expected_output1-decoded_expected_output1-mistralai/Mistral-7B-Instruct-v0.3] (gpu=4, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_apply_chat_template[openai_request2-True-False-expected_output2-decoded_expected_output2-mistralai/Mistral-7B-Instruct-v0.3] (gpu=5, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_apply_chat_template[openai_request3-True-False-expected_output3-decoded_expected_output3-mistralai/Mistral-7B-Instruct-v0.3] (gpu=6, 4ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_apply_chat_template[openai_request4-False-True-expected_output4-decoded_expected_output4-mistralai/Mistral-7B-Instruct-v0.3] (gpu=0, 3ms, exit=1)
ERROR          tests/tokenizers_/test_mistral.py::TestMistralTokenizer::test_apply_chat_template_error[mistralai/Mistral-7B-Instruct-v0.3] (gpu=2, 4ms, exit=1)
